BookId,AuthorId
1,233
1,200
2,264
3,449
3,390
4,38
5,404
6,459
7,23
8,47
9,233
9,321
10,555
11,399
12,560
12,79
13,322
14,322
15,496
16,21
16,469
17,292
18,496
19,378
20,378
21,322
22,322
23,584
24,173
24,272
25,498
26,325
27,280
28,77
29,190
30,56
31,221
32,414
33,539
34,326
35,254
35,93
36,367
37,447
38,189
39,461
40,365
41,51
42,334
43,8
44,442
45,160
46,356
47,431
48,107
49,596
50,587
51,496
51,485
52,496
52,485
53,496
53,485
54,496
54,485
55,496
55,485
56,496
56,485
57,76
58,467
59,330
59,511
60,330
60,286
61,233
61,509
62,233
62,25
63,233
63,244
64,233
64,102
65,480
66,480
67,379
68,379
69,379
70,170
71,105
72,446
72,53
72,178
73,488
74,125
75,285
76,402
77,402
78,402
79,21
79,536
80,269
81,483
82,366
83,85
83,372
84,85
84,413
85,412
86,99
86,379
87,297
88,426
89,573
90,310
91,151
92,52
93,499
94,567
95,111
96,457
97,143
98,563
99,519
100,137
100,374
101,137
102,278
103,601
103,165
104,38
105,548
106,223
106,207
107,15
108,243
109,82
110,83
111,492
112,301
113,322
114,168
114,293
115,559
115,469
116,140
117,378
117,390
118,237
119,557
119,90
120,315
121,315
122,378
122,390
123,463
124,475
125,475
126,473
127,352
128,94
128,296
129,205
129,391
130,154
131,373
132,34
133,101
134,152
135,108
136,230
136,135
137,137
137,374
138,555
138,312
139,543
140,342
141,50
142,222
143,436
144,566
145,247
146,179
147,179
147,13
148,179
149,179
150,213
151,511
152,530
153,614
154,614
155,216
156,196
157,341
158,188
158,508
159,219
159,10
160,308
160,69
161,253
162,253
163,168
163,248
164,27
164,361
165,560
165,79
166,370
167,419
168,512
169,105
170,429
171,424
171,418
172,424
172,418
173,134
173,251
173,89
174,424
174,418
175,424
175,418
175,602
176,424
176,418
176,602
177,424
177,418
178,424
178,418
179,424
179,418
179,602
180,424
180,418
180,602
181,424
181,418
181,602
182,252
183,252
184,252
185,322
186,239
187,449
187,390
188,188
188,508
189,188
189,508
190,85
191,399
192,399
193,399
194,399
195,450
196,450
197,450
198,450
199,450
200,450
201,450
202,450
203,424
203,418
204,188
205,508
206,508
207,508
208,508
209,424
209,418
210,333
210,117
211,188
212,257
212,511
213,554
214,95
214,217
215,97
216,450
217,450
218,450
219,570
219,215
220,298
220,450
221,546
222,601
222,293
223,450
224,450
225,450
226,424
226,418
227,413
228,38
229,450
230,85
231,450
232,27
232,361
233,27
233,361
234,615
234,181
235,469
236,95
236,372
237,223
237,354
238,424
238,418
239,97
240,357
241,91
241,532
242,214
243,228
243,505
244,278
245,456
246,168
247,450
248,103
249,91
249,532
250,187
251,578
252,578
253,276
254,276
255,141
255,31
256,141
256,31
257,141
257,31
258,422
259,252
260,252
261,531
262,558
263,278
264,311
265,311
266,337
266,537
267,416
268,156
269,256
270,478
271,484
272,126
273,290
274,144
275,41
276,170
277,129
278,513
279,589
280,65
281,100
282,555
283,127
284,292
284,57
285,104
286,96
287,315
288,315
289,322
289,417
290,579
291,252
292,583
